activity,integration_id,count
Football (Youth),getactive-london,31
for special needs,getactive-london,7
Foundation fitness,getactive-london,1
Freediving,getactive-london,4
FREE Gym Pass..,opensessions,3
Frescoball,getactive-london,1
Frisbee,getactive-essex-spreadsheet,1
Frisbee,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Frisbee,getactive-london,6
Full Body Workout,ourparks,42
Fun & Games,getactive-essex-spreadsheet,38
Fun & Games,getactive-london,12
Fun Run,getactive-london,2
Fuse Burn,gladstone-newham,6
Fuse Force,gladstone-newham,6
Fuse Play,gladstone-newham,6
Fuse Refresh,gladstone-newham,6
Futsal,getactive-essex-spreadsheet,1
Futsal,getactive-hampshire-and-isle-of-wight-spreadsheet,4
Futsal,getactive-london,36
Futsal,opensessions,3
Gaelic Football,getactive-london,16
Games,getactive-london,1
Games and fitness ,opensessions,1
GArdening/Conservation Work,opensessions,1
General fitness ...bootcampy/personal train,opensessions,2
General Riding,getactive-london,19
Gentle activity,opensessions,2
gentle exercise,opensessions,12
Gentle Yoga,opensessions,2
Girls Football,opensessions,1
Gliding,getactive-essex-spreadsheet,3
Gliding,getactive-london,2
Gliding,gloucestershire-spreadsheet,1
Globe Fit,getactive-hampshire-and-isle-of-wight-spreadsheet,1
Goalball,getactive-essex-spreadsheet,1
Goalball,getactive-hampshire-and-isle-of-wight-spreadsheet,3
Goalball,getactive-london,2
Goalball,gloucestershire-spreadsheet,1
Go Karting,getactive-essex-spreadsheet,3
Go Karting,getactive-london,1
Golf,getactive-essex-spreadsheet,62
Golf,getactive-hampshire-and-isle-of-wight-spreadsheet,38
Golf,getactive-london,190
Golf,girls-move-london-spreadsheet,6
Golf,gloucestershire-spreadsheet,11
Golf,opensessions,13
"Golf, Cricket",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Golf, Footgolf",gloucestershire-spreadsheet,1
"Golf, Gym & Fitness Classes",getactive-essex-spreadsheet,1
"Golf, Swimming, Gym",getactive-essex-spreadsheet,1
"Golf, Swimming, Gym & Fitness Classes",getactive-essex-spreadsheet,1
grappling),girls-move-london-spreadsheet,1
Grass Hockey,getactive-london,1
Green Gym,getactive-london,13
Group Cycling,gladstone-newham,92
Group Fitness,opensessions,11
Group fitness classes & Personal training,getactive-london,15
Group running,getactive-london,15
Gym,getactive-essex-spreadsheet,2
Gym,getactive-hampshire-and-isle-of-wight-spreadsheet,2
Gym,getactive-london,81
Gym,gladstone-newham,82
"Gym, 50+ Exercise",getactive-hampshire-and-isle-of-wight-spreadsheet,2
Gym Facilities,gloucestershire-spreadsheet,3
gym/fitness,getactive-london,3
Gym & Fitness Classes,getactive-essex-spreadsheet,21
Gym & Fitness Classes,getactive-london,38
"Gym & Fitness Classes, Boxing",getactive-essex-spreadsheet,1
Gym/Multiple Activites,getactive-london,11
Gymnastics,getactive-essex-spreadsheet,41
Gymnastics,getactive-hampshire-and-isle-of-wight-spreadsheet,26
Gymnastics,getactive-london,302
Gymnastics,gloucestershire-spreadsheet,2
Gymnastics,ourparks,2
"Gymnastics, Disability Sports",getactive-essex-spreadsheet,1
"Gymnastics, Parkour",getactive-essex-spreadsheet,1
"Gymnastics, Trampolining",getactive-hampshire-and-isle-of-wight-spreadsheet,4
"Gymnastics, Trampolining",gloucestershire-spreadsheet,1
Gym Tots,opensessions,1
Handball,getactive-essex-spreadsheet,3
Handball,getactive-hampshire-and-isle-of-wight-spreadsheet,5
Handball,getactive-london,43
Handball,gloucestershire-spreadsheet,2
Hang Gliding,getactive-london,1
Hapkido,getactive-london,4
haynes park,getactive-london,1
Health and Fitness Exercises,opensessions,1
Health and Nutrition workshop,opensessions,1
Healthy Living and Fitness club for Families,getactive-essex-spreadsheet,1
Healthy Living and Fitness club for Families,getactive-london,5
High5 Netball,getactive-london,3
High Ropes,getactive-london,2
HIIT,ourparks,1
Hill Walking,getactive-essex-spreadsheet,1
Hill Walking,getactive-london,1
Hip Hop,getactive-london,1
Hockey,getactive-essex-spreadsheet,27
Hockey,getactive-hampshire-and-isle-of-wight-spreadsheet,24
Hockey,getactive-london,216
Hockey,girls-move-london-spreadsheet,10
Hockey,gloucestershire-spreadsheet,3
"Hockey, Field Hockey",getactive-essex-spreadsheet,2
"Hockey, Rounders, Tennis, Football, Cricket",getactive-hampshire-and-isle-of-wight-spreadsheet,1
"Hockey, Squash, Tennis, Racketball",gloucestershire-spreadsheet,1
Horseball,getactive-london,1
Horse Driving,getactive-london,8
Horse Riding,opensessions,3
Horse Riding (General),getactive-essex-spreadsheet,2
Horse Riding (General),getactive-london,16
Hula Fitness,ourparks,198
Hula Hoop,getactive-essex-spreadsheet,2
Hula Hoop,getactive-hampshire-and-isle-of-wight-spreadsheet,2
Hula Hoop,getactive-london,2
Hurling,getactive-london,2
Iaido,getactive-london,3
Ice Hockey,getactive-essex-spreadsheet,2
Ice Hockey,getactive-hampshire-and-isle-of-wight-spreadsheet,4
Ice Hockey,getactive-london,9
ice hockey (female),getactive-london,1
Ice Skating,getactive-essex-spreadsheet,1
Ice Skating,getactive-london,11
Indoor Activity,getactive-essex-spreadsheet,2
Indoor Activity,getactive-london,48
indoor climbing,opensessions,2
Indoor Cycling,getactive-london,6
