Code,Term (en-GB),Parent term,Alternate name,Type,Source,Tag,Tag,Tag,Setting,Setting,"<- note the terms here are all British (""en-GB"") terms, so we don't need to take into account internationalisation at this stage"
,Airgun,Shooting,,Discipline,,,,,,,
,Pistol,Shooting,,Discipline,,,,,,,
,Rifle,Shooting,,Discipline,,,,,,,
,Shotgun,Shooting,,Discipline,,,,,,,
,Air,Shooting,,Discipline,,,,,,,
,Clay Target,Shooting,,Discipline,,,,,,,
,Crossbow,Shooting,,Discipline,,,,,,,
,Muzzle loading,Shooting,,Discipline,,,,,,,
,Target,Shooting,,Discipline,,,,,,,
SKATEBOARDING,Skateboarding,,,Activity,Recognised Sports List,Skating sports,,,,,
SKELETON RACING,Skeleton racing,,,Activity,,Winter,,,,,
SKIING,Skiing,,,Activity,Recognised Sports List,Winter,,,,,
,Alpine skiing,Skiing,,Discipline,,,,,,,
,Nordic skiing,Skiing,,Discipline,,,,,,,
,Cross country skiing,Skiing,,Discipline,,,,,,,
SKIPPING,Skipping,,,Activity,Recognised Sports List,Fitness,,,,,
SLEDDING,Sledding,,,Activity,,Winter,,,,,
SNOOKER,Snooker,,,Activity,Recognised Sports List,Leisure,Games,,,,
SNORKELLING,Snorkelling,,,Activity,,Adventure,,,Outdoor,,
SNOWBOARDING,Snowboarding,,,Activity,Recognised Sports List,Winter,,,,,
SOFTBALL,Softball,,,Activity,Recognised Sports List,Team,,,,,
SOMBO,Sombo,,,Activity,Recognised Sports List,Martial Arts,,,,,
,Sombo,,Sambo,Alternate Name,,Martial Arts,,,,,
SQUASH,Squash,,,Activity,Recognised Sports List,Racket,,,,,
STOOLBALL,Stoolball,,,Activity,Recognised Sports List,Team,,,,,
SUB AQUA,Sub Aqua,,,Activity,Recognised Sports List,,,,,,
,Sub Aqua,,Scuba diving,Alternate Name,,,,,,,
SURF LIFE SAVING,Surf Life Saving,,,Activity,Recognised Sports List,,,,Outdoor,,
SURFING,Surfing,,Surfing,Activity,Recognised Sports List,Adventure,,,Outdoor,,
,Board surfing,Surfing,,Discipline,,Adventure,,,Outdoor,,
,Body surfing,Surfing,,Discipline,,Adventure,,,Outdoor,,
SWIMMING,Swimming,,,Activity,Recognised Sports List,,,,,,
TABLE TENNIS,Table Tennis,,,Activity,Recognised Sports List,Racket,,,,,
TAEKWONDO,Taekwondo,,,Activity,Recognised Sports List,Martial Arts,Combat,,,,
TAI CHI,Tai chi,,,Activity,,Martial Arts,Combat,,,,
TANG SOO DO,Tang Soo Do,,,Activity,Recognised Sports List,Martial Arts,Combat,,,,
TENNIS,Tennis,,Tennis,Activity,Recognised Sports List,Racket,,,,,
TEN-PIN BOWLING,Ten-pin bowling,,,Activity,Recognised Sports List,Leisure,Games,,,,
TOBAGGANING,Tobagganing,,,Activity,,Winter,,,,,
,Tobogganing,,Luge,Alternate Name,,Winter,,,,,
TRAMPOLINING,Trampolining,,,Activity,Recognised Sports List,,,,,,
TRIATHLON,Triathlon,,,Activity,Recognised Sports List,,,,,,
TUG OF WAR,Tug Of War,,,Activity,Recognised Sports List,Leisure,Games,,,,
ULTIMATE FRISBEE,Ultimate Frisbee,,,Activity,Recognised Sports List,Leisure,Games,,,,
,Ultimate Frisbee,,Frisbee,Alternate Name,,Team,,,,,
VOLLEYBALL,Volleyball,,,Activity,Recognised Sports List,Team,Summer,,,,
,Beach Volleyball,Volleyball,,Discipline,,,,,,,
,Indoor Volleyball,Volleyball,,Discipline,,Team,,,,,
WAKEBOARDING,Wakeboarding,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
WALKING,Walking,,,Activity,Active Lives Survey,,,,,,
,Walking for travel,Walking,,Discipline,Active Lives Survey,,,,,,
,Dog Walking,Walking,,Discipline,Active Lives Survey,,,,,,
,Walking for leisure,Walking,,Discipline,Active Lives Survey,,,,,,
,Rambling,Walking,,Discipline,Active Lives Survey,,,,,,
,Fell walking,Walking,,Discipline,Active Lives Survey,,,,,,
,Hill walking,Walking,,Discipline,Active Lives Survey,,,,,,
,Mountain walking,Walking,,Discipline,Active Lives Survey,,,,,,
,Hiking,Walking,,Discipline,Active Lives Survey,,,,,,
WATER POLO,Water polo,,,Activity,Recognised Sports List,Team,Water,,,,
WATER SKIING,Water skiing,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
WEIGHTLIFTING,Weightlifting,,,Activity,Recognised Sports List,Fitness,Strength,,,,
,Weightlifting,,Barbell training,Alternate Name,,Fitness,Strength,,,,
,Powerlifting,Weightlifting,,Discipline,,Fitness,Strength,Disabled,,,
,Clean & Jerk,Weightlifting,,Discipline,,Fitness,Strength,,,,
,Snatch,Weightlifting,,Discipline,,Fitness,Strength,,,,
WHEELCHAIR BASKETBALL,Wheelchair basketball,,,Activity,Recognised Sports List,Team,Disabled,,,,
WHEELCHAIR RUGBY,Wheelchair rugby,,,Activity,Recognised Sports List,Team,Disabled,,,,
,Wheelchair rugby,,Murderball,Alternate Name,,Team,Disabled,,,,
WINDSURFING,Windsurfing,,,Activity,Recognised Sports List,Adventure,,,Outdoor,,
WRESTLING,Wrestling,,,Activity,Recognised Sports List,,Combat,,,,
WUSHU,Wushu,,,Activity,Recognised Sports List,Martial Arts,Combat,Chinese Martial Arts,,,
YOGA,Yoga,,,Activity,Recognised Sports List,Fitness,,,,,
,Bikram yoga,Yoga,,Discipline,,Fitness,,,,,
,Ashtanga yoga,Yoga,,Discipline,,Fitness,,,,,
,Budokon yoga,Yoga,,Discipline,,Fitness,,,,,
